Name,BES_Title,BES_Url,Wave No,Only_or_Combined,Base_or_Strings,Mode,Version,Stata_Filename,Stata_Url,SPSS_Url,Ques_Url,N,Date_Start,Date_Stop,Description,Citation,Friendlier_Description
W8_comb,"British Election Study Combined Wave 1, 2, 3, 4, 5, 6, 7 and 8 Internet Panel",http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-2-3-4-5-6-7-and-8-internet-panel/,8,Combined,Base,Online Survey,1.4,BES2015_W8_Panel_v1.4.dta,http://www.britishelectionstudy.com/custom/uploads/2016/08/BES2015_W8_Panel_v1.4.dta.7z,http://www.britishelectionstudy.com/custom/uploads/2016/08/BES2015_W8_Panel_v1.4.sav.zip,http://www.britishelectionstudy.com/custom/uploads/2016/07/BES2015_wave8.pdf,10678,Feb-14,Jun-16,"A panel dataset including waves 1, 2, 3, 4, 5, 6, 7 and 8 of the BES Internet Panel. Version 1.4. The Stata file is compressed using 7-zip.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2016) British Election Study Internet Panel Waves 1-8. DOI: 10.15127/1.293723",2016 EU Ref: Campaign
W7_only,Wave 7 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-7-of-the-2014-2017-british-election-study-internet-panel/,7,Only,Base,Online Survey,1.3,BES2015_W7_v1.3.dta,http://www.britishelectionstudy.com/custom/uploads/2016/07/BES2015_W7_v1.3.dta,http://www.britishelectionstudy.com/custom/uploads/2016/07/BES2015_W7_v1.3.sav,http://www.britishelectionstudy.com/custom/uploads/2016/07/BES2015_wave7.pdf,30895,Apr-16,May-16,Updated release version of the 2016 pre-local election wave of the 2014-2018 British Election Study Internet Panel. Version 1.3.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon and C. Prosser (2015) British Election Study Internet Panel Wave 7. DOI: 10.15127/1.293723",2016 Pre Local Elections
W7_comb,"British Election Study Combined Wave 1, 2, 3, 4, 5, 6 and 7 Internet Panel",http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-2-3-4-5-6-and-7-internet-panel/,7,Combined,Base,Online Survey,3,BES2015_W7_Panel_v3.0.dta,http://www.britishelectionstudy.com/custom/uploads/2016/08/BES2015_W7_Panel_v3.0.dta.7z,http://www.britishelectionstudy.com/custom/uploads/2016/08/BES2015_W7_Panel_v3.0.sav.zip,http://www.britishelectionstudy.com/custom/uploads/2016/07/BES2015_wave7.pdf,13313,Feb-14,May-16,"A panel dataset including waves 1, 2, 3, 4, 5, 6 and 7 of the BES Internet Panel. Version 3.0.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2015) British Election Study Internet Panel Waves 1-7. DOI: 10.15127/1.293723",2016 Pre Local Elections
W6_only,Post-Election Wave 6 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/post-election-wave-6-of-the-2014-2017-british-election-study-internet-panel/,6,Only,Base,Online Survey,3.6,BES2015_W6_v3.6.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W6_v3.6.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W6_v3.6.sav,http://www.britishelectionstudy.com/custom/uploads/2015/11/BES2015_wave6.pdf,30027,May-15,May-15,The 2015 post-election wave of the 2014-2018 British Election Study Internet Panel. Version 1.2.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2015) British Election Study Internet Panel Wave 6. DOI: 10.15127/1.293723",2015 GE: Post-Election
W6_comb,"British Election Study Combined Wave 1, 2, 3, 4, 5 and 6 Internet Panel",http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-2-3-4-5-and-6-internet-panel/,6,Combined,Base,Online Survey,1.2,BES2015_W6_Panel_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2015/07/BES2015_W6_Panel_v1.2.zip,http://www.britishelectionstudy.com/custom/uploads/2015/07/BES2015_W6_Panel_v1.2.sav,http://www.britishelectionstudy.com/custom/uploads/2015/11/BES2015_wave6.pdf,16799,Feb-14,May-15,"A panel dataset including waves 1, 2, 3, 4, 5 and 6 of the BES Internet Panel. Version 1.2.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2015) British Election Study Internet Panel Waves 1-6. DOI: 10.15127/1.293723",2015 GE: Post-Election
W5_comb,"British Election Study Combined Wave 1, 2, 3, 4 and 5 Internet Panel",http://www.britishelectionstudy.com/data-object/british-election-study-combined-wave-1-2-3-4-and-5-internet-panel/,5,Combined,Base,Online Survey,1.6,BES2015_W5_Panel_v1.6.dta,http://www.britishelectionstudy.com/custom/uploads/2015/06/BES2015_W5_Panel_v1.6.dta,http://www.britishelectionstudy.com/custom/uploads/2015/06/BES2015_W5_Panel_v1.6.sav,http://www.britishelectionstudy.com/custom/uploads/2017/05/BES2015_wave5reupload.pdf,17673,Feb-14,May-15,"A panel dataset including waves 1, 2, 3, 4 and 5 of the BES Internet Panel.","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, C. van der Eijk, J. Mellon & C. Prosser (2015) British Election Study Internet Panel Waves 1-6. DOI: 10.15127/1.293723",2015 GE: Campaign
W5_only,Wave 5 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-5-of-the-2014-2017-british-election-study-internet-panel/,5,Only,Base,Online Survey,1,BES2015_W5_v1.0.dta,http://www.britishelectionstudy.com/custom/uploads/2015/07/BES2015_W5_v1.0.dta,http://www.britishelectionstudy.com/custom/uploads/2015/07/BES2015_W5_v1.0.sav,http://www.britishelectionstudy.com/custom/uploads/2017/05/BES2015_wave5reupload.pdf,30725,Mar-15,May-15,Updated release version of the 2015 campaign wave of the 2014-2018 British Election Study Internet Panel. Version 1.0.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2015) British Election Study Internet Panel Wave 5. DOI: 10.15127/1.293723",2015 GE: Campaign
W4_only,Updated Wave 4 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/preliminary-wave-4-of-the-2014-2017-british-election-study-internet-panel/,4,Only,Base,Online Survey,3.7,BES2015_W4_v3.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W4_v3.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W4_v3.7.sav,http://www.britishelectionstudy.com/custom/uploads/2015/05/BES_Wave4_2015-150514.pdf,31323,Mar-15,Mar-15,An updated full sample version of the March 2015 wave of the 2014-2018 British Election Study Internet Panel. Version 1.0.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2015) British Election Study Internet Panel Wave 4. DOI: 10.15127/1.293723",2015 GE: Pre-Campaign
W4_comb,"Updated British Election Study Combined Wave 1, 2, 3 and 4 Panel",http://www.britishelectionstudy.com/data-object/preliminary-british-election-study-combined-wave-1-2-3-and-4-panel/,4,Combined,Base,Online Survey,2.1,BES2015_W4_Panel_v2.1.dta,http://www.britishelectionstudy.com/custom/uploads/2015/05/BES2015_W4_Panel_v2.1.dta,http://www.britishelectionstudy.com/custom/uploads/2015/05/BES2015_W4_Panel_v2.1.sav,http://www.britishelectionstudy.com/custom/uploads/2015/05/BES_Wave4_2015-150514.pdf,19003,Feb-14,Mar-15,An updated panel dataset including the full sample of the wave 4 pre-election internet panel.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2014) British Election Study Internet Panel Waves 1, 2, 3 & 4. DOI: 10.15127/1.293723",2015 GE: Pre-Campaign
W3_only,Wave 3 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/wave-3-of-the-2014-2017-british-election-study-internet-panel-2/,3,Only,Base,Online Survey,4.7,BES2015_W3_v4.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W3_v4.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W3_v4.7.sav,http://www.britishelectionstudy.com/custom/uploads/2014/12/BES2015_wave3.pdf,27839,Sep-14,Oct-14,The third 2014 wave of the 2014-2018 British Election Study Internet Panel (Sept-Oct 2014). Second Release Version 2.0.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2014) British Election Study Internet Panel Wave 3. DOI: 10.15127/1.293723",2014 Autumn
W3_comb,"2015 British Election Study Combined Wave 1, 2 and 3 Panel",http://www.britishelectionstudy.com/data-object/2015-british-election-study-combined-wave-1-and-2-panel/,3,Combined,Base,Online Survey,1.2,BES2015_W3_Panel_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2015/01/BES2015_W3_Panel_v1.2.dta,http://www.britishelectionstudy.com/custom/uploads/2015/01/BES2015_W3_Panel_v1.2.sav,http://www.britishelectionstudy.com/custom/uploads/2014/12/BES2015_wave3.pdf,21489,Feb-14,Jun-14,"The combined data set for the 2015 British Election Study Internet Panel Study: Waves 1 (February-March 2014), 2 (May-June 2014) and 3 (September-October 2014). Second Release Version 1.2.    ","Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2014) British Election Study Internet Panel Waves 1 & 2. DOI: 10.15127/1.293723",2014 Autumn
W2_only,Wave 2 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/2015-british-election-study-internet-panel-wave-2/,2,Only,Base,Online Survey,6.7,BES2015_W2_v6.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W2_v6.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W2_v6.7.sav,http://www.britishelectionstudy.com/custom/uploads/2014/09/BES2015_wave2.pdf,30219,May-14,Jun-14,The second 2014 wave of the 2014-2018 British Election Study Internet Panel (May-June 2014). Release Version 4.0.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2014) British Election Study Internet Panel Wave 2. DOI: 10.15127/1.293723",2014 Summer
W1_only,Wave 1 of the 2014-2018 British Election Study Internet Panel,http://www.britishelectionstudy.com/data-object/2015-bes-internet-panel-wave-1/,1,Only,Base,Online Survey,7.7,BES2015_W1_v7.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W1_v7.7.dta,http://www.britishelectionstudy.com/custom/uploads/2017/08/BES2015_W1_v7.7.sav,http://www.britishelectionstudy.com/custom/uploads/2014/05/BES2015_wave1.pdf,30239,Feb-14,Mar-14,The first 2014 wave of the 2014-2018 British Election Study Internet Panel (February-March 2014). Updated: Version 5.0.,"Fieldhouse, E., J. Green., G. Evans., H. Schmitt, and C. van der Eijk (2014) British Election Study Internet Panel Wave 1. DOI: 10.15127/1.293723",2014 Spring
